"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"Msgn1",62323.6666666667,"distal_TF"
"BHLHE41",62342,"distal_TF"
"SP9",62481.3413814551,"distal_TF"
"RFX2",62489.1666666667,"distal_TF"
"ZFP57",62576.6616402116,"distal_TF"
"TCFL5",62777.2216570168,"distal_TF"
"KLF6",63036.488597779,"distal_TF"
"ZNF740",63081.4577724359,"distal_TF"
"CREM",63174.4,"distal_TF"
"NFIL3",63213.4031531532,"distal_TF"
"KLF4",63381.4323076374,"distal_TF"
"LHX2",63521.1223155929,"distal_TF"
"IRF2",63573.2941176471,"distal_TF"
"TBX21",64016.4285714286,"distal_TF"
"HES7",64195.8,"distal_TF"
"HINFP",64419.4150165016,"distal_TF"
"SP1",64538.0852261606,"distal_TF"
"POU2F2",64674,"distal_TF"
"PAX6",64842,"distal_TF"
"ZNF770",64939.4585624284,"distal_TF"
"ZBTB33",64967.8571428571,"distal_TF"
"Zfp809",65057.6287878788,"distal_TF"
"GLIS2",65059.3333333333,"distal_TF"
"MAFA",65092.65,"distal_TF"
"HOXB13",65163.4301158301,"distal_TF"
"KLF16",65178.1130158731,"distal_TF"
"ZKSCAN3",65302.5,"distal_TF"
"ZNF449",65486.7653508772,"distal_TF"
"EGR2",66083.1890243903,"distal_TF"
"Zic3",66172.550877193,"distal_TF"
"KLF1",66295.7738136334,"distal_TF"
"KLF9",66372.8334183673,"distal_TF"
"HNF4A",66968.7291666667,"distal_TF"
"HNF4G",66968.8541666667,"distal_TF"
"Msx3",67029.1514189514,"distal_TF"
"Ddit3::Cebpa",67185.3787878788,"distal_TF"
"PAX5",67381.841954023,"distal_TF"
"CREB3L4",67672.381602414,"distal_TF"
"TFAP2E",67986.5680900568,"distal_TF"
"IRF8",68004.21875,"distal_TF"
"Gli2",68109.2,"distal_TF"
"NR4A2",68436.3940329218,"distal_TF"
"Ppara",68515.3728902954,"distal_TF"
"IRF4",68540.2307692308,"distal_TF"
"CDX2",68808.0639097744,"distal_TF"
"Smad4",68821.5144444444,"distal_TF"
"TBX15",68887.6489326765,"distal_TF"
"PKNOX1",68974.3,"distal_TF"
"TBX1",69280.7768115942,"distal_TF"
"ZSCAN29",69281.2857142857,"distal_TF"
"PAX1",69530,"distal_TF"
"TFAP2B",70105.7031376809,"distal_TF"
"PRDM9",70399.8265306122,"distal_TF"
"MAZ",70594.5867173692,"distal_TF"
"Lef1",70606.1626984127,"distal_TF"
"ELK1::HOXB13",70719.4,"distal_TF"
"KLF11",70820.4974399494,"distal_TF"
"MYC",70909.9921104536,"distal_TF"
"PAX9",70958.5,"distal_TF"
"ZBTB7B",70971.2258064516,"distal_TF"
"ZBTB7A",70978.225,"distal_TF"
"CUX1",71073.2476190476,"distal_TF"
"Prdm14",71074.6919191919,"distal_TF"
"ZBTB11",71077.3291755508,"distal_TF"
"ZBTB17",71129.7777777778,"distal_TF"
"CEBPD",71294.2923728813,"distal_TF"
"SOHLH2",71345.95,"distal_TF"
"TBX5",71453.122284858,"distal_TF"
"MAF",71572.0476190476,"distal_TF"
"MAX",71732.8748858447,"distal_TF"
"Zic1::Zic2",71779.1856313131,"distal_TF"
"KLF14",71956.2912718718,"distal_TF"
