"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"ZNF549",113139.031243668,"distal_TF"
"FOXO1::ELK3",113206.271361502,"distal_TF"
"FOS::JUN",113414.795684524,"distal_TF"
"Atf3",113533.252321429,"distal_TF"
"FOS",113585.143073741,"distal_TF"
"ETV5::HOXA2",114021.385294118,"distal_TF"
"FOSL2::JUN",114091.793797766,"distal_TF"
"SOX4",114205.755390476,"distal_TF"
"NFE2",114277.55,"distal_TF"
"TBX20",114336,"distal_TF"
"FOS::JUNB",114458.648655914,"distal_TF"
"FOXI1",114794.238421053,"distal_TF"
"MEOX2",114834.459618363,"distal_TF"
"FLI1::FOXI1",115091.097157623,"distal_TF"
"VAX1",115494.66903259,"distal_TF"
"FOSL2::JUND",115685.893192918,"distal_TF"
"ZNF189",115925.243386243,"distal_TF"
"MYOD1",116123.71031746,"distal_TF"
"ZNF384",116322.573882472,"distal_TF"
"SOX2",116360.312719298,"distal_TF"
"Jun",116652.943326118,"distal_TF"
"BHLHE22",116678.347288519,"distal_TF"
"NR6A1",117021.166666667,"distal_TF"
"VENTX",117032.80180776,"distal_TF"
"FOXO6",117218.825268817,"distal_TF"
"FOXO1::FLI1",117223.119402985,"distal_TF"
"FOSB::JUNB",117261.050854701,"distal_TF"
"BARX2",117419.626433442,"distal_TF"
"Ebf4",117508.481867058,"distal_TF"
"RUNX2",117548.385940546,"distal_TF"
"Atoh1",117763.715181119,"distal_TF"
"POU3F3",117908.125,"distal_TF"
"Hmx3",118228.1875,"distal_TF"
"PHOX2A",118333.217261905,"distal_TF"
"JUN",118471.910714286,"distal_TF"
"HOXA4",118511.8279782,"distal_TF"
"EBF1",118633.160835223,"distal_TF"
"BACH1",118952.964689266,"distal_TF"
"FOXP2",119033.141666667,"distal_TF"
"PAX4",119105.467857143,"distal_TF"
"HOXD8",119550.846485371,"distal_TF"
"HOXC12",119918.52173913,"distal_TF"
"HOXB8",120003.726819066,"distal_TF"
"NKX6-1",120024.901823941,"distal_TF"
"ZNF652",120273.714285714,"distal_TF"
"LHX5",120490.902123234,"distal_TF"
"ESX1",120502.169067242,"distal_TF"
"FOXO4",120719.275824176,"distal_TF"
"FOXG1",120941.75,"distal_TF"
"HOXC10",121170.21494709,"distal_TF"
"ZBED1",121612,"distal_TF"
"FOSL1",121717.378654971,"distal_TF"
"NEUROD1",122172.462042788,"distal_TF"
"Vdr",122210.113095238,"distal_TF"
"LIN54",122702.279421769,"distal_TF"
"TCF7L2",123245.031785714,"distal_TF"
"Runx1",123369.86297043,"distal_TF"
"Olig2",123443.883887521,"distal_TF"
"Tcf12",123443.883887521,"distal_TF"
"Twist2",123443.883887521,"distal_TF"
"LMX1B",123505.395833333,"distal_TF"
"HOXD11",123825.018518519,"distal_TF"
"POU3F2",123969.538461538,"distal_TF"
"Ptf1A",124257.510307525,"distal_TF"
"POU2F1",124325.008333333,"distal_TF"
"PRDM1",125007.24137931,"distal_TF"
"EN2",125135.496928571,"distal_TF"
"HOXA3",125194.413731854,"distal_TF"
"Nfatc2",125710.448596491,"distal_TF"
"MGA::EVX1",125753.056818182,"distal_TF"
"Alx1",126464.783333333,"distal_TF"
"RUNX3",127029.501360544,"distal_TF"
"MEOX1",127288.783118218,"distal_TF"
"Rarb",127429,"distal_TF"
"Foxj3",127514.078947368,"distal_TF"
"ZNF35",127565.5,"distal_TF"
"ATF2",127779.015625,"distal_TF"
"SREBF1",127826.461748634,"distal_TF"
"SOX13",128404.412083333,"distal_TF"
"VSX2",128723.476605956,"distal_TF"
"Rhox11",128809.279605263,"distal_TF"
"Sox3",129149.806967213,"distal_TF"
"VSX1",129598.604737806,"distal_TF"
"PBX2",130146.625,"distal_TF"
"POU2F3",130373.333333333,"distal_TF"
"Foxl2",130559.081770833,"distal_TF"
"GBX1",130599.377926587,"distal_TF"
"MAFF",130971.266666667,"distal_TF"
"LBX1",131858.985119048,"distal_TF"
"TFCP2",132738.542342342,"distal_TF"
"Stat5a::Stat5b",133129.207621471,"distal_TF"
"BCL11A",133368.164922481,"distal_TF"
"LHX9",133520.322277841,"distal_TF"
"Mecom",133660.6,"distal_TF"
"POU5F1B",133753.352678571,"distal_TF"
"Nfat5",133778.773376623,"distal_TF"
"ZNF341",134189.358928571,"distal_TF"
"IRF6",134342.227272727,"distal_TF"
"RORB",135407.97051282,"distal_TF"
"Sox6",135457.526829268,"distal_TF"
"ERF::FIGLA",135472.213414634,"distal_TF"
"ZNF784",135819.374183007,"distal_TF"
"Hand1",135832.897435897,"distal_TF"
"NHLH1",136187.022649573,"distal_TF"
"SRY",136295.766847826,"distal_TF"
"Stat6",136407.121428571,"distal_TF"
"HMBOX1",136949.645960779,"distal_TF"
"Lhx3",137675.845238095,"distal_TF"
"NKX6-3",137902.491409266,"distal_TF"
"Bcl11B",139130.958092404,"distal_TF"
"Arid3a",139758.394324474,"distal_TF"
"MYOG",140372.151226551,"distal_TF"
"ZBTB32",141777.294117647,"distal_TF"
"ZNF135",142027.75,"distal_TF"
"ETV2::FIGLA",142134.59,"distal_TF"
"Prdm4",142242.083333333,"distal_TF"
"PRRX2",142467.043379282,"distal_TF"
"ZBTB18",144448.19,"distal_TF"
"Bhlha15",144605.485918367,"distal_TF"
"LHX6",144706.82997449,"distal_TF"
"Ascl2",145523.676836158,"distal_TF"
"Sox17",146160.833333333,"distal_TF"
"Npas4",147190.778571429,"distal_TF"
"ZNF317",147319.643442623,"distal_TF"
"ETV5::FIGLA",147325.041666667,"distal_TF"
"SATB1",147361.946666667,"distal_TF"
"LMX1A",149888.829861111,"distal_TF"
"Spz1",150471.39,"distal_TF"
"TCF7L1",150583.333333333,"distal_TF"
"ZNF680",150937.974358974,"distal_TF"
"HOXA5",151957.826578073,"distal_TF"
"PAX3",154388.995098039,"distal_TF"
"BCL6",154855,"distal_TF"
"MYF5",155047.103225806,"distal_TF"
"HOXD10",155883.15,"distal_TF"
"Rfx6",156836.203333333,"distal_TF"
"TFEC",156992.15556992,"distal_TF"
"HOXD3",157634.921935157,"distal_TF"
"GRHL1",160299,"distal_TF"
"ESRRA",160499.5625,"distal_TF"
"Nkx2-1",162750.979032258,"distal_TF"
"Tbx6",163912.813131313,"distal_TF"
"MSC",164256.153153153,"distal_TF"
"Sox7",164345.555555556,"distal_TF"
"NR1H4::RXRA",165547,"distal_TF"
"ZNF675",165668.333333333,"distal_TF"
"ESR2",166507.635416667,"distal_TF"
"PROX1",170625,"distal_TF"
"POU6F2",171999.306413994,"distal_TF"
"ZNF76",172960.833333333,"distal_TF"
"ZNF214",175179.4,"distal_TF"
"Lhx1",175546.968253968,"distal_TF"
"HSF4",176933,"distal_TF"
"Hoxa11",180127.391025641,"distal_TF"
"ZNF667",182108.1,"distal_TF"
"HOXB9",183994.842105263,"distal_TF"
"POU5F1",184892.903846154,"distal_TF"
"PHOX2B",186756,"distal_TF"
"MYF6",188662.293103448,"distal_TF"
"HOXC9",192047.722222222,"distal_TF"
"PROP1",200575,"distal_TF"
"TFAP4::FLI1",201062.75,"distal_TF"
"ESRRB",205161.5,"distal_TF"
"Nr2F6",208085.333333333,"distal_TF"
"Nr5A2",208916.52173913,"distal_TF"
"ZNF816",209555.375,"distal_TF"
"NHLH2",210502.2,"distal_TF"
"ZKSCAN1",211431.384615385,"distal_TF"
"ZNF143",216168.666666667,"distal_TF"
"Arx",217433.5,"distal_TF"
"REST",218302,"distal_TF"
"Pax7",221979.156862745,"distal_TF"
"Tcf21",222215.333333333,"distal_TF"
"RARA",227130.5,"distal_TF"
"Prdm15",236594.34375,"distal_TF"
"NR1D1",240045.6,"distal_TF"
"Thap11",243523,"distal_TF"
"ELK1::HOXA1",248581.5,"distal_TF"
"NR1D2",249312.2,"distal_TF"
"NR4A2::RXRA",262588.888888889,"distal_TF"
"ZNF324",263706.555555556,"distal_TF"
"ZNF211",266046.5,"distal_TF"
"Rarg",326834,"distal_TF"
"ZSCAN31",329344,"distal_TF"
"ERF::NHLH1",550752.666666667,"distal_TF"
"ZNF282",577760,"distal_TF"
