"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"POU3F4",23,57,98875.1847826087,46809,172597.912353003
"HOXA7",174,843,98896.9987996678,31995.1022727273,164308.457695641
"ERF::FOXI1",216,1387,99024.5448338213,23586,201195.124416319
"Foxf1",78,240,99055.8288461538,51492,135217.372034761
"CDX4",48,136,99096.0080357143,29801,174084.719546265
"NR2F2",56,105,99103.4398809524,19880,196645.723653834
"HOXA6",148,629,99126.533558146,33250,166012.015084056
"FIGLA",191,1293,99132.1498805691,18065,215739.476204271
"HOXC11",7,21,99168.4285714286,85024,83817.7163191194
"Stat4",81,324,99205.0470846026,33110.6666666667,131738.608216051
"HOXC4",144,648,99208.233415379,33227.875,169033.61558993
"HNF1A",17,80,99314.6650154799,33312,163678.792216143
"NR2C2",281,3105,99333.9896862778,23760.7,199319.771432525
"PRRX1",109,448,99379.6753216822,27937,176062.092637513
"E2F6",116,541,99411.1095143362,13831.625,234256.980581958
"FOXC2",76,250,99532.900689223,27817.1428571429,176708.578930727
"Atf1",70,284,99609.3557823129,29222,190091.512006858
"SOX14",11,23,99716.3636363636,18313,246070.45908856
"RELB",85,301,99804.6241036415,25886,175260.294427983
"Foxj2",85,269,99876.35,51691,123698.209414088
"GABPA",158,698,99988.2647980711,23581,176784.093409404
"HIC2",259,2087,100005.740131023,23692,202140.363067678
"MIXL1",134,618,100083.460118927,30808,166696.387868394
"ESR1",3,6,100126,43150,122525.692134344
"UNCX",95,394,100303.758572568,25877,181429.803239617
"ETV2",162,712,100346.478909465,23586.25,176814.852462396
"MGA",90,289,100410.272486772,19349.5,223147.689773784
"MXI1",138,599,100575.215255035,31182.5,167983.5999261
"FOXO1::ELK1",104,412,100656.906181319,31414.5,160822.573745728
"Hmga1",47,121,101172.911854103,41599,127860.662140579
"RELA",42,183,101257.524305556,21677.5,147791.262177677
"IKZF2",241,1792,101299.765669618,25903.6666666667,196084.46325209
"PDX1",92,371,101353.046636787,40899.25,158246.734641664
"NKX6-2",145,675,101529.220644872,30818,163818.79104452
"BACH2",40,277,101648.108333333,30848.5,153126.854830552
"Nr2e1",74,257,101860.830405405,50567,142034.99861072
"PGR",37,208,101866.864864865,15719,186507.20709621
"Arid3b",88,260,101918.001841418,53152.875,136272.608481418
"HOXA9",145,621,101967.359693062,33042,172621.85939956
"ZNF768",71,250,102070.480985915,16100,188922.201773063
"MZF1",72,198,102131.254728836,25424,187032.256595039
"SIX1",53,150,102151.505031447,39108,171865.216470465
"Dux",8,37,102215.625,60251.5,130015.800300181
"NR2F1",46,122,102381.502173913,22619,199689.190121506
"HOXD4",115,467,102431.19278562,33310,160858.933738331
"INSM1",57,155,102438.051754386,13370,263899.79228309
"STAT1",78,286,102446.232783883,26442.5,174262.779380281
"PITX3",91,222,102494.541862899,40326,139346.152403924
"Crx",57,118,102683.676065163,47765.6666666667,134547.06029412
"FOSL1::JUN",75,484,102721.562063492,33327,176804.666443112
"STAT1::STAT2",94,423,102756.579787234,32477,182592.29871244
"ZNF175",160,724,102832.52447516,24068,177570.697805788
"HOXA2",117,476,102991.323718874,33330,159874.70143807
"STAT3",122,589,103043.846744672,37406.75,158800.937578785
"TFEB",92,421,103129.379839033,25309.5,184295.186355958
"ZNF708",42,127,103153.932142857,31360.5,150225.011713002
"HOXB4",115,492,103274.216883262,33330,160642.434402047
"FOXK1",77,230,103282.762770563,41590.3333333333,152930.140059384
"HOXD12",14,28,103345.214285714,59293.5,123711.050367178
"Zfp335",131,515,103390.174881861,23497,217631.787361132
"EHF",200,1018,103415.590190934,22072,210355.168245903
"TGIF2LX",10,66,103430.033333333,36448.5,118228.133321986
"ASCL1",151,1481,103451.112857816,16200,235689.211850345
"NFATC4",127,503,103733.85019685,24469,224459.16647601
"TBX18",37,83,103739.026126126,13341,167244.194118974
"DMRTA1",75,241,103814.358603175,39636,174888.069693215
"TEAD3",107,316,103849.411793502,35682,177252.274159547
"OTX2",62,121,103973.559139785,41648.5,139524.701392678
"ETV6",218,1270,103984.143480602,23580.8,208584.684174205
"HOXC13",10,18,104002.4,84600.5,78985.0249410186
"Stat2",96,450,104053.059375,34549,156630.870596565
"GSX2",181,914,104075.477137498,33145.75,182496.112034688
"HOXB5",74,377,104269.056081081,33237.875,172269.598805218
"ELF3",194,974,104383.620747423,23287.3,212040.349155523
"SOX9",45,123,104492.589259259,33198,162031.884935953
"NFATC3",281,2823,104510.634203801,26236.3333333333,197946.558381287
"MLXIPL",52,191,104596.223855311,29239,179150.735028049
"HOXB6",172,821,104665.160585533,36130.8888888889,175241.11690141
"NKX2-3",124,481,104679.669843597,23282,222151.213239269
"SOX15",144,613,104738.345610383,36095,164870.319812605
"Nfatc1",182,831,104854.320368124,27137.5,210213.624030564
"FOXO1::ELF1",88,309,105002.605790043,51493.25,148837.209854022
"FOSL2::JUNB",73,526,105004.323744292,33314,179446.191083403
"SOX18",153,611,105117.124600866,39602.4285714286,156968.694539719
"Hoxa13",47,125,105135.502279635,40096,155004.55075443
"POU6F1",132,610,105236.864959217,40720,166107.15337696
"DMRTA2",198,1241,105310.062439459,29073,213118.293620483
"Prdm5",4,12,105368.25,68769,124748.613657961
"FOSL1::JUND",122,789,105563.724193107,36229.25,175697.611257158
"MEF2D",22,86,105825.984848485,67220.5,114240.806364723
"HOXB3",168,802,105864.382278426,40330.6666666667,171906.061102942
"IKZF1",182,971,106006.661319831,30303,210928.183468522
"OLIG3",66,272,106092.376010101,24510,174769.110307792
"Yy1",47,136,106339.921276596,40100,159565.086581729
"ZEB1",158,794,106344.238681686,17607.5,227642.788142747
"Dmbx1",18,37,106405.388888889,37778.5,158859.019277412
"SNAI1",139,643,106461.498909663,17844,236070.825270506
"ZNF460",14,38,106507.214285714,38226.5,144484.996204918
"HOXB7",99,295,106525.970093795,33146.5,168080.862777624
"Lhx4",139,693,106581.43772235,30798,172377.14926247
"Foxo3",72,217,106766.784490741,42432.1666666667,156519.016563021
"MEF2A",36,112,106893.340277778,41083,125248.044702519
"NFIC",42,169,106919.617424242,24307.25,172127.170501345
"FOXL1",129,489,106940.006154225,33121.5,216841.469535246
"NEUROG2",102,559,107194.912941634,15254.1666666667,251726.981216621
"Stat5a",28,82,107274.901785714,53191,146155.073417477
"ETV7",224,1468,107403.775842612,24320,211876.7625292
"BATF3",75,392,107420.739365079,33799,174676.237412548
"BATF::JUN",75,428,107420.751587302,33799,174676.230112997
"FOXA2",72,201,107422.877083333,51491.5,146771.963279288
"DMRT3",52,156,107423.048076923,41063.5,152406.208213646
"TCF7",62,185,107483.531605223,40075.75,162775.026459362
"OVOL1",11,26,107487,16594,177781.977656904
"JUND",82,476,107489.894157485,31355.8333333333,194732.086961441
"GFI1",38,137,107531.686842105,46647.5,159015.343574751
"FOXF2",42,112,107639.833333333,29020.5,156491.555202987
"VAX2",198,1527,107756.206504609,33148,201386.534504722
"mix-a",28,62,107946.954081633,43875,169766.628009723
"BHLHA15",29,150,108145.870689655,34392,131833.522832786
"BNC2",74,424,108203.772039897,33556.5,175735.971246066
"FOXH1",77,216,108218.90445269,41427,170169.251033
"RBPJ",198,859,108295.710444171,25345.75,212256.922758859
"NOTO",124,514,108443.892926388,40720,177897.485456694
"EMX2",84,352,108491.427161427,29366.5,193697.91882674
"EWSR1-FLI1",3,9,108956.333333333,13453,169343.523620873
"NRL",27,87,109095.543209877,55437.5,135212.891994911
"Arntl",44,160,109330.316115702,30773,191250.617574991
"JUN::JUNB",99,582,109411.425817701,36709,187511.863468336
"FERD3L",25,137,109440.54,30842,145949.107959827
"Hmx1",18,40,109524.777777778,59572,194494.235616851
"DMRTC2",26,77,109609.5,40105,179578.02273892
"MEF2B",20,76,109686.533333333,63302.5,119313.602698884
"FOXB1",36,102,109895.196825397,56538,129038.605373456
"SPIC",105,442,109941.347777778,40093,154465.622546587
"Elf5",203,1224,109996.844234183,29772,212914.281085827
"GLI3",2,6,110472.5,110472.5,76829.273096262
"FOXC1",93,330,110663.197930206,38352,179264.180708134
"TWIST1",66,279,110829.136734478,25433,215208.851577621
"CDX1",42,112,110919.557142857,53006,179584.319727539
"Sox1",2,7,110983,110983,30440.9469300809
"ETV5::FOXO1",117,485,111016.33521571,40535,161625.18529858
"RORC",81,231,111022.50462963,19791,260793.128970062
"FOSL1::JUNB",67,410,111140.908706468,33327,186097.860915096
"Neurod2",133,1329,111216.451591424,18737,244546.431924089
"HOXB1",125,592,111257.18956167,46807,174550.683727228
"TFAP4",103,839,111343.122953401,28812,233146.854722129
"GATA1",48,115,111535.65625,45879,141828.395062827
"Foxq1",18,53,111549.488888889,33731,175570.561880264
"SCRT1",30,92,111578.893333333,34338.5,159686.344630168
"SNAI2",59,246,111589.924616626,9514,292353.636873908
"ZNF274",24,62,111647.5,35411,188683.516858487
"Gfi1B",81,312,111700.032172149,36488,244510.190811729
"ARGFX",25,74,111942.19,33199,177606.21425539
"SCRT2",31,108,111961.596774194,24804,163697.298098829
"Dlx2",30,77,112072.8,46926.5,129092.427939322
"Dlx5",30,77,112072.8,46926.5,129092.427939322
"BATF",77,440,112113.385745207,36710,176395.231983948
"FOXP3",166,819,112166.963140295,37427.5625,211804.070220733
"JUNB",62,396,112435.002688172,31341.625,190629.728024662
"Isl1",54,129,112577.226190476,53354,172435.561309482
"FOS::JUND",60,354,112691.995634921,33320.5,192427.750840775
"ZBED2",83,328,112734.722891566,24469,263231.232177896
"RORA",20,42,113019.525,40747,235230.306302337
"ZNF549",94,347,113139.031243668,16327.8333333333,253993.5403485
"FOXO1::ELK3",71,256,113206.271361502,51296,160178.482400601
"FOS::JUN",80,525,113414.795684524,33320.5,200178.481842156
"Atf3",80,433,113533.252321429,37911.5,174422.278512611
"FOS",86,543,113585.143073741,33562.75,184930.841751511
"ETV5::HOXA2",34,111,114021.385294118,36153,200463.814376769
"FOSL2::JUN",81,520,114091.793797766,33799,198782.039640564
"SOX4",125,463,114205.755390476,35681.75,182403.874873982
"NFE2",40,252,114277.55,31384.5,170538.134241131
"TBX20",12,29,114336,74412,117447.862348286
"FOS::JUNB",62,419,114458.648655914,33563,190845.22711699
"FOXI1",95,314,114794.238421053,39637,233765.781989125
"MEOX2",123,509,114834.459618363,40719.5,181120.099943783
"FLI1::FOXI1",129,492,115091.097157623,36471.75,184881.007964362
"VAX1",113,451,115494.66903259,33330.5,188701.854684022
"FOSL2::JUND",78,528,115685.893192918,33563,201949.692331751
"ZNF189",63,183,115925.243386243,52029,156582.097228418
"MYOD1",63,297,116123.71031746,13486,273304.093290889
"ZNF384",71,436,116322.573882472,51292.5,166592.283137262
"SOX2",57,175,116360.312719298,51669,171046.961718132
"Jun",66,401,116652.943326118,35254.25,184781.612602751
"BHLHE22",128,1080,116678.347288519,23899.75,247994.127258595
"NR6A1",6,13,117021.166666667,89415,115702.282624703
"VENTX",54,140,117032.80180776,60208,160882.290463151
"FOXO6",93,315,117218.825268817,41601.75,235924.940545684
"FOXO1::FLI1",67,241,117223.119402985,51690.5,162833.686500079
"FOSB::JUNB",78,550,117261.050854701,36456,201036.538936297
"BARX2",100,336,117419.626433442,41010.7857142857,179545.869357777
"Ebf4",62,383,117508.481867058,23999.5,292298.379519788
"RUNX2",114,460,117548.385940546,31133.75,240144.247584997
"Atoh1",109,585,117763.715181119,26360,248683.296128035
"POU3F3",8,14,117908.125,84385,102888.026591238
"Hmx3",16,36,118228.1875,63330,204778.71870427
"PHOX2A",24,77,118333.217261905,21135,206239.131852386
"JUN",64,226,118471.910714286,34572,203049.793768482
"HOXA4",197,999,118511.8279782,33312.2,228951.513896137
"EBF1",70,497,118633.160835223,23999.5,281846.055592616
"BACH1",59,318,118952.964689266,33799,193958.724676202
"FOXP2",74,249,119033.141666667,55063.125,166551.588630375
"PAX4",30,102,119105.467857143,59650,173425.424143186
"HOXD8",79,252,119550.846485371,51988,187604.937155171
"HOXC12",23,59,119918.52173913,63865,130345.703202297
"HOXB8",81,254,120003.726819066,51988,186479.324210123
"NKX6-1",109,383,120024.901823941,55425.5,175524.613428261
"ZNF652",14,30,120273.714285714,50165.5,135354.983029769
"LHX5",70,270,120490.902123234,48472.25,184992.150454035
"ESX1",112,445,120502.169067242,40720,188230.21671697
"FOXO4",112,374,120719.275824176,41057.9166666667,231445.786342366
"FOXG1",40,106,120941.75,71057,139363.885758063
"HOXC10",54,156,121170.21494709,56172.75,174518.979106536
"ZBED1",4,18,121612,97787.5,145620.260598128
"FOSL1",57,366,121717.378654971,33799,196479.089358007
"NEUROD1",69,335,122172.462042788,13339,292926.530314244
"Vdr",64,176,122210.113095238,40570.3333333333,186261.899545622
"LIN54",70,213,122702.279421769,55787.25,174552.665162839
"TCF7L2",80,243,123245.031785714,40744,199480.079239851
"Runx1",124,581,123369.86297043,31133.75,243274.019235305
"Olig2",116,966,123443.883887521,21872.25,259063.856833063
"Tcf12",116,966,123443.883887521,21872.25,259063.856833063
"Twist2",116,966,123443.883887521,21872.25,259063.856833063
"LMX1B",16,49,123505.395833333,59332.1666666667,202666.039037889
"HOXD11",27,69,123825.018518519,79688,129438.700150084
"POU3F2",13,31,123969.538461538,68852,134549.734746806
"Ptf1A",89,1026,124257.510307525,19913,271797.818449566
"POU2F1",30,67,124325.008333333,44204.375,217202.861630218
"PRDM1",116,484,125007.24137931,30055.5,244910.910134784
"EN2",75,311,125135.496928571,55423.75,182135.893605065
"HOXA3",94,383,125194.413731854,53342.2,185920.670796359
"Nfatc2",95,311,125710.448596491,39639,251511.058042343
"MGA::EVX1",22,51,125753.056818182,88943.625,135223.434487939
"Alx1",15,50,126464.783333333,63865,206063.850079265
"RUNX3",98,376,127029.501360544,37464.5,256744.16095917
"MEOX1",106,407,127288.783118218,53342.2,191287.77664528
"Rarb",1,1,127429,127429,NA
"Foxj3",38,95,127514.078947368,85494,121568.333499473
"ZNF35",8,19,127565.5,53036.5,130126.833894584
"ATF2",32,114,127779.015625,23942,228561.151923834
"SREBF1",61,284,127826.461748634,31895,276090.70260724
"SOX13",60,161,128404.412083333,53296.5,178834.850734546
"VSX2",54,190,128723.476605956,55075.25,197041.336763947
"Rhox11",38,121,128809.279605263,41074.0625,183721.748982008
"Sox3",61,164,129149.806967213,54822,177702.879830072
"VSX1",57,226,129598.604737806,56122,191980.284464687
"PBX2",18,59,130146.625,59422,194396.007203085
"POU2F3",21,53,130373.333333333,55778,196406.984046987
"Foxl2",32,99,130559.081770833,55781,183718.152134049
"GBX1",72,258,130599.377926587,48472.25,201410.673063298
"MAFF",15,41,130971.266666667,55759,161010.156048114
"LBX1",69,232,131858.985119048,79711,185254.617713664
"TFCP2",37,147,132738.542342342,51365.5,194967.630377169
"Stat5a::Stat5b",131,569,133129.207621471,33171,245799.480251624
"BCL11A",86,214,133368.164922481,33969,278142.777029475
"LHX9",70,283,133520.322277841,55772.875,198597.993562537
"Mecom",5,8,133660.6,30889,256264.415911183
"POU5F1B",32,79,133753.352678571,52611.5,214849.241375349
"Nfat5",77,254,133778.773376623,40097,278140.865257325
"ZNF341",56,172,134189.358928571,60739.5,168872.021235363
"IRF6",33,100,134342.227272727,42276,338291.216255663
"RORB",39,94,135407.97051282,51365,213905.881794023
"Sox6",82,261,135457.526829268,40744,203119.271409071
"ERF::FIGLA",41,140,135472.213414634,32282,317938.710511434
"ZNF784",51,153,135819.374183007,25980,291130.932240763
"Hand1",39,84,135832.897435897,29318,231701.04398236
"NHLH1",78,464,136187.022649573,15192.75,283744.605419097
"SRY",92,225,136295.766847826,57053.5,192879.471481922
"Stat6",56,227,136407.121428571,38504.25,286619.974230314
"HMBOX1",122,498,136949.645960779,46453.5,250475.43043869
"Lhx3",4,21,137675.845238095,127294.5,101327.48406505
"NKX6-3",74,219,137902.491409266,65710.25,201887.585850024
"Bcl11B",84,337,139130.958092404,42775,267741.846018606
"Arid3a",86,225,139758.394324474,62808,252656.158293078
"MYOG",66,564,140372.151226551,19206.5,307798.494866714
"ZBTB32",17,40,141777.294117647,85968,213288.203094359
"ZNF135",4,9,142027.75,162262.5,99446.3786884671
"ETV2::FIGLA",25,92,142134.59,13476.25,388395.879197995
"Prdm4",30,81,142242.083333333,23206.5,354125.993584985
"PRRX2",57,194,142467.043379282,79711,199192.198158351
"ZBTB18",50,152,144448.19,36448,307842.05010153
"Bhlha15",70,542,144605.485918367,21986.75,301745.257886621
"LHX6",56,293,144706.82997449,88173.125,180109.170324117
"Ascl2",59,394,145523.676836158,21912.3333333333,300918.354785601
"Sox17",18,45,146160.833333333,28414.5,247402.185832811
"Npas4",35,108,147190.778571429,26016,350694.850421111
"ZNF317",61,225,147319.643442623,40567,219577.765945125
"ETV5::FIGLA",24,94,147325.041666667,14782.5,395857.181039338
"SATB1",30,69,147361.946666667,56449,204553.886758147
"LMX1A",36,118,149888.829861111,56839.1666666667,213060.189142971
"Spz1",45,138,150471.39,43275,309152.460627262
"TCF7L1",6,16,150583.333333333,137276.5,107811.412523288
"ZNF680",39,118,150937.974358974,51672,321020.993835273
"HOXA5",86,411,151957.826578073,65792.8,220343.766386
"PAX3",12,70,154388.995098039,54601,243285.325445391
"BCL6",9,21,154855,84820,143025.045452711
"MYF5",62,422,155047.103225806,27714,316959.468450742
"HOXD10",20,44,155883.15,71776,243490.07474558
"Rfx6",15,48,156836.203333333,21907.25,484627.742176875
"TFEC",51,178,156992.15556992,29666,318563.16531347
"HOXD3",47,188,157634.921935157,99876,189922.277742375
"GRHL1",11,39,160299,161105,184324.51829857
"ESRRA",16,31,160499.5625,46231.5,235691.084756288
"Nkx2-1",31,75,162750.979032258,33200,363367.828267187
"Tbx6",33,72,163912.813131313,68696,215765.538143708
"MSC",37,172,164256.153153153,30735,345619.021973915
"Sox7",18,50,164345.555555556,61760,243065.143421706
"NR1H4::RXRA",9,28,165547,109096,255723.841757569
"ZNF675",3,9,165668.333333333,210348,99812.7472637305
"ESR2",32,85,166507.635416667,35494.5,280769.944820088
"PROX1",1,3,170625,170625,NA
"POU6F2",49,152,171999.306413994,97011,200704.762287584
"ZNF76",6,15,172960.833333333,74867.5,220629.641991657
"ZNF214",10,25,175179.4,71273,227001.383289079
"Lhx1",9,46,175546.968253968,63865,268024.646657279
"HSF4",12,33,176933,88477,248496.741623416
"Hoxa11",26,65,180127.391025641,130031,219562.146837285
"ZNF667",10,23,182108.1,54157.5,258590.130747246
"HOXB9",19,37,183994.842105263,127566,245637.591817309
"POU5F1",39,88,184892.903846154,67723,355180.01412298
"PHOX2B",6,13,186756,40133,326609.707463204
"MYF6",29,160,188662.293103448,30735,382509.522599917
"HOXC9",18,36,192047.722222222,130031,250164.952747254
"PROP1",10,20,200575,20796.5,296266.107851633
"TFAP4::FLI1",16,51,201062.75,10687,475794.206546836
"ESRRB",12,25,205161.5,98125,258723.412539864
"Nr2F6",3,7,208085.333333333,210343,119893.443525213
"Nr5A2",23,39,208916.52173913,99852,262461.353485677
"ZNF816",8,19,209555.375,253372.5,128806.017733132
"NHLH2",15,68,210502.2,21904,485717.687592355
"ZKSCAN1",13,32,211431.384615385,11438,523339.757286402
"ZNF143",6,15,216168.666666667,190248,222663.14705911
"Arx",14,37,217433.5,114937,287522.185682788
"REST",1,2,218302,218302,NA
"Pax7",6,31,221979.156862745,110795.5,321831.743253019
"Tcf21",21,110,222215.333333333,43280,417482.938922938
"RARA",2,4,227130.5,227130.5,140999.213488941
"Prdm15",16,36,236594.34375,109318.5,292511.009322767
"NR1D1",5,15,240045.6,39118,460091.098941612
"Thap11",5,14,243523,216106,220756.933701979
"ELK1::HOXA1",4,12,248581.5,205657.5,240670.103220847
"NR1D2",5,13,249312.2,39618,454493.935264487
"NR4A2::RXRA",9,26,262588.888888889,127471,342046.537713234
"ZNF324",9,23,263706.555555556,63880,412111.450911374
"ZNF211",6,18,266046.5,201877.5,300829.964853736
"Rarg",1,3,326834,326834,NA
"ZSCAN31",1,3,329344,329344,NA
"ERF::NHLH1",6,21,550752.666666667,211915.5,736707.153418145
"ZNF282",1,1,577760,577760,NA
