"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"ZNF213",30,84,55175.2833333333,12082.5,92263.9512958267
"ZNF574",9,20,55245.2222222222,7420,96961.4329834004
"SP8",90,522,55260.422756734,8322.5,209585.843998896
"EPAS1",20,68,55389.05,7664,88893.5248668908
"CEBPG",49,297,55541.2023323615,23155,79939.3612394264
"RARB",7,30,55679.6428571429,6821.5,117301.26612691
"PATZ1",98,730,56035.2510370157,8926.66666666667,205411.088192489
"FOXD2",47,125,56233.0567375887,22072,82696.0751764757
"HES5",35,236,56632.7363636364,8554,98568.5399176676
"ZNF417",38,161,57076.0657894737,7426.5,103911.008385442
"Six3",4,11,57265.25,13899,96680.0057729105
"SP2",112,760,57492.6993197279,9050.83333333333,195893.033372191
"NFYA",48,157,57506.4194444444,12592.8,97600.158579691
"USF2",23,134,57593.652173913,28812,73146.691903455
"ELK3",103,439,57866.9177993528,8504,111533.762874452
"TGIF2",8,41,57909.25,13825,84201.5627777435
"ZNF677",6,14,57961,30602.5,67746.8513836621
"KLF10",109,720,58259.4916666666,9144.66666666667,197172.017434058
"IRF5",10,33,58875.9,21775,87410.7241557541
"NFIC::TLX1",8,36,58890.875,17602.75,90564.745969685
"Creb5",19,113,58931.8947368421,5571,83302.8917642951
"E2F2",11,32,58989.4090909091,9329,131247.186690386
"Zic2",56,172,59312.8428571429,11222.75,92342.0656577446
"ZNF331",17,45,59378.8455882353,9268,94294.7431823185
"KLF7",109,657,59538.7853123251,8886,198121.497000632
"MAF::NFE2",44,142,59637.2689393939,26431.1666666667,87677.0639089278
"DBP",49,266,60126.0025510204,23508,81640.9165532779
"ZNF454",22,70,60260.9318181818,9443.5,126992.363342418
"TFDP1",83,397,60425.5817269076,6680,129804.45127337
"CEBPA",35,124,60487.5412244898,22200.2,89649.156112743
"HLF",39,125,60661.9786324786,26323,77672.5093910396
"KLF2",139,1136,61097.9915354861,10119.25,181167.171907209
"ZNF281",91,508,61275.9538221704,9161,229973.207853552
"CTCF",48,162,61633.0375,14551.5,108741.531294094
"HEY1",28,128,61924.7619047619,8340,105930.085428444
"EGR4",44,177,61942.0056818182,944.25,287947.646432877
"EGR3",37,142,62102.8243243243,247,312876.876958287
"PBX1",21,49,62215.2857142857,18311,82705.8160730809
"Msgn1",24,63,62323.6666666667,16046.5,103136.847416079
"BHLHE41",15,83,62342,31881,70801.3784147496
"SP9",104,650,62481.3413814551,9595.25,204137.258902376
"RFX2",6,33,62489.1666666667,10234,131035.957236808
"ZFP57",63,310,62576.6616402116,4755.8,148674.53993378
"TCFL5",93,672,62777.2216570168,9997,128554.310221572
"KLF6",115,584,63036.488597779,10056,195925.923627618
"ZNF740",64,436,63081.4577724359,7487.2,244608.89965335
"CREM",15,102,63174.4,4155,91725.2964808898
"NFIL3",37,102,63213.4031531532,30818.5,73366.4371456024
"KLF4",119,695,63381.4323076374,10333,192287.082450087
"LHX2",51,137,63521.1223155929,27937,88476.0858598907
"IRF2",17,63,63573.2941176471,8928,92179.8675340532
"TBX21",21,45,64016.4285714286,11447,107531.356136046
"HES7",5,22,64195.8,4807,84143.3810391524
"HINFP",101,393,64419.4150165016,8450,207198.262550551
"SP1",105,690,64538.0852261606,9304,210289.310299219
"POU2F2",6,16,64674,54654.5,38680.6988251247
"PAX6",6,16,64842,29194,69496.6935932926
"ZNF770",97,368,64939.4585624284,9119.2,146028.674112791
"ZBTB33",7,31,64967.8571428571,2822,119214.947634414
"Zfp809",44,109,65057.6287878788,8880,118364.526698677
"GLIS2",9,23,65059.3333333333,15311,126638.757116453
"MAFA",20,104,65092.65,10596,93211.3855724972
"HOXB13",37,96,65163.4301158301,28751,79455.1752041501
"KLF16",105,563,65178.1130158731,8837,219979.543800599
"ZKSCAN3",2,2,65302.5,65302.5,88135.9105274348
"ZNF449",38,115,65486.7653508772,14401.375,112897.299396348
"EGR2",41,165,66083.1890243903,247,298777.139759456
"Zic3",76,298,66172.550877193,17619.75,111395.385829648
"KLF1",131,854,66295.7738136334,10055,203160.922230629
"KLF9",56,242,66372.8334183673,4598.25,259477.564895562
"HNF4A",24,49,66968.7291666667,40249.5,82746.0058479088
"HNF4G",24,47,66968.8541666667,40249.5,82745.9645141682
"Msx3",63,229,67029.1514189514,22173,121030.308922031
"Ddit3::Cebpa",33,85,67185.3787878788,15674,107705.324134231
"PAX5",58,186,67381.841954023,8279.5,148376.201656825
"CREB3L4",61,367,67672.381602414,7849,144198.771210921
"TFAP2E",149,1668,67986.5680900568,10127.1428571429,156386.188951027
"IRF8",16,63,68004.21875,18061,95443.9370082369
"Gli2",35,90,68109.2,14358,100360.724812988
"NR4A2",81,208,68436.3940329218,21130,96069.4405389877
"Ppara",79,163,68515.3728902954,14717,129171.437868679
"IRF4",13,39,68540.2307692308,21628,99173.9912402725
"CDX2",38,106,68808.0639097744,24596.7142857143,93070.7934454024
"Smad4",90,280,68821.5144444444,14395,131748.078663564
"TBX15",58,168,68887.6489326765,13419.5,107713.016705993
"PKNOX1",28,95,68974.3,16194.5,105901.724477107
"TBX1",46,123,69280.7768115942,12361.5,105801.527274345
"ZSCAN29",7,17,69281.2857142857,23597,102149.386705149
"PAX1",15,40,69530,26019,93258.0161357265
"TFAP2B",145,2103,70105.7031376809,13123.25,157668.830752603
"PRDM9",56,256,70399.8265306122,16625,122724.707058543
"MAZ",104,672,70594.5867173692,13383.9711538462,207130.030276104
"Lef1",36,103,70606.1626984127,38112.5,81746.5612670523
"ELK1::HOXB13",20,60,70719.4,21239,133067.631713865
"KLF11",113,625,70820.4974399494,10056,200326.45693114
"MYC",39,146,70909.9921104536,10303,108045.287797149
"PAX9",10,22,70958.5,29906.5,103569.370373731
"ZBTB7B",31,95,70971.2258064516,15626,106369.539842776
"ZBTB7A",166,798,70978.225,14114.5,136179.09398718
"CUX1",15,48,71073.2476190476,33408,86796.5832777722
"Prdm14",33,100,71074.6919191919,13299,108936.059197045
"ZBTB11",134,582,71077.3291755508,11007.5,143726.260353885
"ZBTB17",9,38,71129.7777777778,33332,77154.6268877923
"CEBPD",59,238,71294.2923728813,26389,118157.138795045
"SOHLH2",25,125,71345.95,10303,107683.419547983
"TBX5",91,318,71453.122284858,14309,109072.979880697
"MAF",21,116,71572.0476190476,14336,95580.2215102456
"MAX",73,388,71732.8748858447,17236,106657.163859528
"Zic1::Zic2",120,511,71779.1856313131,15308.6666666667,135346.705074709
"KLF14",123,781,71956.2912718718,10056,211847.167529588
"Tfcp2l1",70,243,73106.2678571429,14106,177180.215891584
"MNT",68,366,73217.2102941176,19588,107997.332527569
"Mlxip",68,366,73217.2102941176,19588,107997.332527569
"VEZF1",161,2438,73229.7344676207,11425,190612.210441004
"Creb3l2",45,194,73523.4554938272,7849,170788.886182231
"ETV5::DRGX",46,141,73647.6739130435,19800,115757.816511755
"Six4",64,185,73691.6332217262,17724,124219.088392107
"TAL1::TCF3",40,178,74075.975,14975.5,124622.904099443
"ZNF184",69,253,74184.3630434783,39646,110811.056062983
"Arnt",69,369,74291.1347826087,21940,107570.821076305
"Pparg::Rxra",59,206,74333.3305084746,16100,122198.84964644
"TFAP2A",143,1889,74392.5678591067,13291,160813.93984252
"POU4F1",6,13,75001.2777777778,44613.5,73052.6601454706
"REL",88,331,75029.6975961539,16143.75,124733.408711707
"Wt1",71,266,75213.9664319249,8944,240098.347214981
"DPRX",29,91,75648.775862069,21954,100446.318982507
"ELK1",135,613,75915.9634567901,13272,148933.157205847
"PAX8",30,93,76014.4766666667,20006,159832.997782262
"Ebf2",85,506,76114.4060905895,21158,141987.521273524
"ZNF418",19,62,76204.7894736842,21920,87878.3366375095
"SNAI3",66,279,76533.5145382396,8979,244486.9540727
"Nanog",51,144,76575.7990196078,16114,173816.100814036
"GATA2",51,125,76585.162745098,40099,91052.3085604972
"ZNF530",48,187,76626.4451388889,14746.75,123190.067877508
"FOXE1",46,120,76659.2989130435,23416.375,113888.757662962
"NR4A1",65,142,76692.0858974359,21891,112589.934948876
