"TFName","timepoint","n_upstream","n_downstream","median_upstream","median_downstream","difference_median_upstream_minus_downstream","wilcox_p_value","wilcox_p_adj","direction"
"VSX1","day_7",19,50,0.016183036,0.0111871445,0.0049958915,0.00651688961197285,0.0409541788360255,"upstream_higher"
"VAX1","day_7",23,121,0.016183036,0.010784694,0.005398342,0.00672235412297201,0.041659495724449,"upstream_higher"
"Nr1h3","day_7",80,247,0.0104587875,0.006358018,0.0041007695,0.00675910695061262,0.041659495724449,"upstream_higher"
"MLXIPL","day_7",15,40,0.020920753,0.011507392,0.009413361,0.0068730481487521,0.0419583225080961,"upstream_higher"
"TCF3","day_7",34,76,0.013344356,0.003787449,0.009556907,0.00719152777692132,0.0434883896698732,"upstream_higher"
"FIGLA","day_7",93,322,0.011432648,0.0043198265,0.0071128215,0.00734194104920583,0.0439830300237471,"upstream_higher"
"CTCFL","day_7",33,78,0.013999462,0.008971274,0.005028188,0.00748574686433562,0.0440947033173517,"upstream_higher"
"TFEC","day_7",15,44,0.016942739,0.0111461285,0.0057966105,0.00752835290432648,0.0440947033173517,"upstream_higher"
"Foxn1","day_7",219,721,0.015286128,0.01318264,0.002103488,0.00756695376740825,0.0440947033173517,"upstream_higher"
"PAX8","day_7",8,18,0.011607505,0.001542736,0.010064769,0.0076503752831647,0.0441791942027799,"upstream_higher"
"ZBTB17","day_7",4,8,0.0127865675,0.003054917,0.0097316505,0.00780014615347859,0.044641907896248,"upstream_higher"
"ATF2","day_1",13,24,0.030643463,0.010793161,0.019850302,0.00044707734810196,0.0450850813954733,"upstream_higher"
"Creb5","day_1",16,22,0.030643463,0.010684299,0.019959164,0.000606392734959929,0.0450850813954733,"upstream_higher"
"CREB3L4","day_1",57,66,0.01525561,0.010643959,0.004611651,0.000683601799509019,0.0450850813954733,"upstream_higher"
"Ahr::Arnt","day_1",64,173,0.0138669965,0.008822823,0.0050441735,0.000704733650504721,0.0450850813954733,"upstream_higher"
"CEBPB","day_1",16,48,0.007711312,0.021141386,-0.013430074,0.000738218419067862,0.0450850813954733,"downstream_higher"
"HES1","day_1",76,110,0.014990032,0.0101647975,0.0048252345,0.000816701153177033,0.0450850813954733,"upstream_higher"
"JDP2","day_1",26,103,0.030643463,0.015757455,0.014886008,0.000842711801784547,0.0450850813954733,"upstream_higher"
"CEBPE","day_1",16,48,0.007711312,0.021141386,-0.013430074,0.000923311730898891,0.0455973947105452,"downstream_higher"
"HESX1","day_7",22,79,0.0153255465,0.008939902,0.0063856445,0.00815207533764253,0.0462431884197245,"upstream_higher"
"Stat5b","day_7",9,19,0.025992605,0.008260939,0.017731666,0.00832404069691257,0.0468044744449207,"upstream_higher"
"Npas2","day_7",17,41,0.021650314,0.007598579,0.014051735,0.00847974372739265,0.0469398121493503,"upstream_higher"
"TLX2","day_7",20,78,0.015680949,0.007076581,0.008604368,0.008494568189274,0.0469398121493503,"upstream_higher"
"VSX2","day_7",17,43,0.016183036,0.011109216,0.00507382,0.00908670755946123,0.048946596916038,"upstream_higher"
"ISX","day_7",20,77,0.015680949,0.007076581,0.008604368,0.00908680972388225,0.048946596916038,"upstream_higher"
"Nobox","day_7",20,77,0.015680949,0.007076581,0.008604368,0.00908680972388225,0.048946596916038,"upstream_higher"
"MITF","day_0",14,36,0.017352194,0.0062443735,0.0111078205,0.00252752722446258,0.0494016684781322,"upstream_higher"
