"timepoint","expression_direction","n_observations","pearson_r","pearson_p_value","spearman_rho","spearman_p_value"
"day_0","negative_expression",39075,0.049248745077043,2.0196934640104e-22,0.0849504847142709,1.67309250779922e-63
"day_0","positive_expression",41527,0.0576227187871567,6.90736083121234e-32,0.0387702162207869,2.71406046758587e-15
"day_1","negative_expression",41909,0.00815946429070201,0.0948485476018387,-0.0348407683690284,9.71774480217945e-13
"day_1","positive_expression",38720,-0.0207240950882648,4.53722501609157e-05,-0.0462462222942616,8.65604740542176e-20
"day_7","negative_expression",40713,-0.102737192665143,6.02388759468556e-96,-0.143168305577966,2.27619638571499e-185
"day_7","positive_expression",39206,-0.092345714215971,5.37457336555035e-75,-0.0863188772377818,9.99973563670876e-66
